,precision,recall,f1-score,support,Groupe
Greg Whittington,0.0,0.0,0.0,0.0,Faible
Greivis Vasquez,0.0,0.0,0.0,0.0,Faible
Guerschon Yabusele,0.0,0.0,0.0,1.0,Faible
Gustavo Ayon,0.0,0.0,0.0,0.0,Faible
Hakim Warrick,0.0,0.0,0.0,0.0,Faible
Hamidou Diallo,0.0,0.0,0.0,2.0,Faible
Harrison Barnes,0.2222222222222222,0.5,0.30769230769230765,4.0,Faible
Harry Giles III,0.5,0.5,0.5,2.0,Faible
Hasheem Thabeet,0.0,0.0,0.0,1.0,Faible
Hassan Whiteside,0.0,0.0,0.0,3.0,Faible
Haywood Highsmith,0.0,0.0,0.0,0.0,Faible
Hedo Turkoglu,0.0,0.0,0.0,1.0,Faible
Henry Ellenson,0.0,0.0,0.0,1.0,Faible
Henry Sims,0.0,0.0,0.0,1.0,Faible
Henry Walker,0.0,0.0,0.0,1.0,Faible
Herbert Jones,0.0,0.0,0.0,0.0,Faible
Hollis Thompson,0.0,0.0,0.0,3.0,Faible
Ian Clark,0.0,0.0,0.0,2.0,Faible
Ian Mahinmi,0.0,0.0,0.0,0.0,Faible
Ignas Brazdeikis,0.0,0.0,0.0,2.0,Faible
Iman Shumpert,0.0,0.0,0.0,5.0,Faible
Immanuel Quickley,0.0,0.0,0.0,0.0,Faible
Isaac Humphries,0.0,0.0,0.0,1.0,Faible
Isaac Okoro,0.0,0.0,0.0,2.0,Faible
Isaiah Canaan,0.0,0.0,0.0,3.0,Faible
Isaiah Hartenstein,0.0,0.0,0.0,1.0,Faible
Isaiah Hicks,0.0,0.0,0.0,2.0,Faible
Isaiah Jackson,0.0,0.0,0.0,0.0,Faible
Isaiah Joe,0.0,0.0,0.0,0.0,Faible
Isaiah Livers,0.0,0.0,0.0,1.0,Faible
