Player,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Wade Baldwin IV,18.666666666666668,10.666666666666666,8.0,193.0666666666667,58.0,20.0,56.333333333333336,42.76666666666667,3.0,12.0,38.6,15.0,19.333333333333332,72.16666666666667,4.666666666666667,18.333333333333332,23.0,26.0,19.0,7.0,3.3333333333333335,21.0,136.66666666666666,0.0,0.0,-66.66666666666667
Walker Kessler,74.0,34.0,40.0,1703.2,679.0,298.0,414.0,72.0,1.0,3.0,33.3,82.0,159.0,51.6,231.0,389.0,620.0,69.0,58.0,26.0,173.0,169.0,2066.0,20.0,0.0,72.0
Walt Lemon Jr.,5.5,2.5,3.0,101.14999999999999,51.5,22.5,51.5,43.75,1.5,3.0,70.0,5.0,7.0,69.7,2.0,12.5,14.5,17.5,7.0,5.5,1.0,9.5,107.5,0.0,0.0,-19.0
Wayne Ellington,58.1,23.8,34.3,1256.15,496.4,176.1,429.4,40.97,106.7,278.4,38.46,37.5,44.2,84.65,16.5,111.2,127.7,67.3,35.5,33.8,4.8,67.1,830.8,0.1,0.0,-39.9
Wayne Selden,31.75,11.25,20.5,596.25,228.75,84.5,203.5,37.95,28.0,81.5,36.7,31.75,44.25,65.25,13.5,49.75,63.25,47.25,36.25,14.25,4.75,52.25,396.5,0.25,0.0,-112.0
Wendell Carter Jr.,52.0,17.6,34.4,1456.4,668.8,254.8,493.6,51.44,35.4,110.2,27.439999999999998,123.8,169.0,73.86,123.4,336.6,460.0,107.2,87.6,32.0,42.4,157.6,1517.2,18.2,0.0,-147.8
Wendell Moore Jr.,29.0,16.0,13.0,152.7,42.0,18.0,43.0,41.9,2.0,17.0,11.8,4.0,5.0,80.0,4.0,14.0,18.0,18.0,8.0,8.0,5.0,13.0,122.0,0.0,0.0,-53.0
Wenyen Gabriel,36.25,16.0,20.25,464.575,162.0,63.5,119.5,48.125,9.25,29.0,31.75,25.75,41.25,63.575,49.0,73.25,122.25,17.25,23.25,12.75,15.25,70.75,395.0,0.25,0.0,-7.5
Wes Iwundu,45.2,19.2,26.0,765.5799999999999,197.8,69.0,169.0,40.64,14.8,50.6,32.519999999999996,45.0,56.4,78.64,23.0,88.0,111.0,41.6,24.0,20.4,10.2,68.2,461.2,0.0,0.0,-30.8
Wesley Johnson,66.42857142857143,29.571428571428573,36.857142857142854,1419.0714285714287,447.57142857142856,171.42857142857142,421.2857142857143,39.642857142857146,65.42857142857143,195.0,32.714285714285715,39.285714285714285,52.0,72.72857142857143,37.42857142857143,177.85714285714286,215.28571428571428,62.57142857142857,52.857142857142854,53.57142857142857,42.857142857142854,127.14285714285714,1036.4285714285713,1.1428571428571428,0.0,-143.14285714285714
